Man City	23	18.1	170	65.8	89.1	11.5	7.03	2.37	0.92
Liverpool	33	17.9	171	61.4	84.0	14.8	6.99	2.37	1.12
Chelsea	21	12.7	201	57.0	85.5	15.6	6.94	1.64	1.33
West Ham	19	12.8	132	49.2	80.5	17	6.79	1.61	1.68
Man Utd	18	12.2	251	53.5	82.3	15.3	6.78	1.52	1.72
Wolves	11	8.9	201	45.1	79.0	11.4	6.75	0.9	1.68
Brighton	13	10.8	240	56.4	81.0	15.4	6.74	1.31	1.45
Spurs	10	12.4	181	54.5	84.7	15.1	6.70	1.54	1.49
Arsenal	15	12.2	91	48.5	80.9	14.3	6.65	1.43	1.62
Aston Villa	11	11.7	270	46.2	77.3	16.4	6.64	1.19	1.62
Watford	12	11.6	141	43.1	73.7	19.8	6.59	1.33	1.66
Southampton	12	11.8	231	48.0	76.3	19.5	6.58	1.35	1.57
Leicester	15	10.8	141	48.4	78.5	16.1	6.57	1.27	1.78
Crystal Palace	10	8.5	161	42.3	78.7	15	6.57	0.88	1.92
Everton	9	11.5	190	36.6	73.8	14.7	6.55	1.38	1.74
Burnley	8	8.5	190	36.7	67.9	24.2	6.55	0.88	2.09
Brentford	12	9.9	201	46.1	72.8	18.5	6.54	1.06	1.72
Leeds	11	12.5	290	51.7	78.1	12.8	6.50	1.41	1.9
Newcastle	7	10.2	280	38.4	75.7	14.9	6.46	1.05	1.75
Norwich	6	8.6	171	45.3	79.5	13.2	6.38	0.84	1.96
