Man City	32	18.6	131	69.0	90.7	11.8	7.14	2.6	0.72
Liverpool	25	20.5	120	63.0	84.2	17.2	7.09	2.56	0.92
Chelsea	27	16.8	190	60.3	86.3	14.7	6.94	2.07	1.08
Spurs	16	13	160	48.7	82.8	16.5	6.89	1.53	1.47
Arsenal	18	17.1	211	53.3	83.5	14.1	6.84	1.97	1.26
West Ham	22	13.5	130	45.0	78.3	17.1	6.82	1.71	1.46
Burnley	8	13.9	180	41.9	70.5	27	6.82	1.18	1.44
Leicester	19	12.7	120	49.5	81.3	14.5	6.79	1.45	1.88
Wolves	8	11.5	160	50.3	81.1	14.6	6.78	1.06	1.35
Crystal Palace	21	13.5	240	57.9	82.0	18.3	6.78	1.44	1.22
Southampton	14	12.5	201	44.5	74.9	17	6.76	1.43	1.49
Man Utd	18	15.5	191	52.2	82.5	15.1	6.71	1.79	1.45
Brighton	10	14.5	191	54.8	83.7	14.3	6.70	1.57	1.39
Aston Villa	17	10.7	181	44.7	79.9	16	6.68	1.14	1.41
Everton	15	13.2	231	44.4	73.3	19.2	6.67	1.47	1.38
Leeds	13	15.4	291	58.7	79.9	13.2	6.65	1.74	1.58
Brentford	14	11.9	200	44.5	72.7	21	6.64	1.31	1.44
Newcastle	14	12.5	232	37.2	73.1	18	6.56	1.22	1.87
Watford	11	11.8	211	39.2	72.4	19.7	6.51	1.38	1.73
Norwich	7	11.5	210	43.6	77.1	14.9	6.50	1.06	1.56
